date,temp,visibility,dew_point,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all
2018-02-21,27.03583333,3333.333333,20.96208333,1009.333333,70.04166667,3.084166667,169.4166667,0.0,38.45833333
2018-02-22,27.25708333,3333.333333,21.575,1009.041667,71.875,3.02625,176.5,0.0,39.95833333
2018-02-23,27.94,3333.333333,22.60875,1008.916667,73.54166667,2.955416667,180.7916667,0.0,22.875
2018-02-24,29.22958333,3333.333333,23.12333333,1009.875,70.70833333,3.439583333,141.4166667,0.0,30.625
2018-02-25,27.67958333,3333.333333,23.18708333,1009.958333,77.33333333,3.142916667,93.83333333,0.14125,71.58333333
2018-02-26,27.09576923,3692.307692,23.36307692,1009.730769,80.80769231,2.974230769,118.4230769,0.445384615,67.92307692
2018-02-27,26.48375,2916.666667,23.4525,1009.125,83.91666667,2.132916667,121.7916667,0.2725,61.0
2018-02-28,26.7816,3600.0,23.5436,1009.56,83.28,1.8888,165.36,0.2692,53.84
2018-03-01,28.06333333,3333.333333,24.38375,1008.791667,81.04166667,1.669166667,184.3333333,0.100416667,61.08333333
2018-03-02,27.65653846,3461.538462,24.30307692,1008.884615,82.57692308,1.753461538,172.3461538,0.088846154,63.92307692
2018-03-03,27.32769231,3846.153846,24.37615385,1009.384615,84.42307692,1.74,176.6538462,0.342692308,76.57692308
2018-03-04,27.29333333,3333.333333,24.16333333,1009.291667,83.375,1.690416667,169.3333333,0.055416667,38.91666667
2018-03-05,27.89666667,3333.333333,24.42916667,1009.5,81.83333333,2.024583333,182.4166667,0.022916667,29.58333333
2018-03-06,27.88041667,3750.0,24.23,1009.708333,81.04166667,1.65,182.9583333,0.066666667,41.66666667
2018-03-07,27.89583333,3333.333333,23.56083333,1009.25,77.91666667,2.551666667,250.25,0.0,38.20833333
2018-03-08,28.035,3333.333333,24.365,1009.583333,80.875,2.084166667,188.5,0.141666667,67.54166667
2018-03-09,27.08192308,3846.153846,23.88461538,1009.269231,83.0,2.392692308,134.6153846,0.150384615,82.57692308
2018-03-10,26.9456,3600.0,23.4944,1009.0,81.76,2.9112,73.92,0.74,81.72
2018-03-11,27.48666667,3333.333333,23.51416667,1009.333333,79.54166667,1.94375,98.75,0.035416667,88.29166667
2018-03-12,26.3284,3600.0,23.8636,1009.4,86.52,1.5912,74.92,0.366,86.88
2018-03-13,27.1408,3600.0,24.2892,1009.92,84.8,1.108,134.68,0.2136,85.72
2018-03-14,27.71625,3333.333333,24.065,1010.0,81.16666667,1.538333333,152.5833333,0.184166667,61.45833333
2018-03-15,28.28208333,3333.333333,24.17166667,1010.166667,78.95833333,1.414583333,165.75,0.027916667,52.41666667
2018-03-16,28.52833333,3333.333333,24.79916667,1009.083333,80.54166667,1.27625,180.2083333,0.0875,79.875
2018-03-17,27.85958333,3333.333333,24.76333333,1009.208333,83.625,1.350833333,154.2916667,0.182916667,76.91666667
2018-03-18,28.55416667,3333.333333,25.21833333,1010.0,82.58333333,2.085,198.9583333,0.050833333,36.04166667
2018-03-19,27.9104,3600.0,24.6428,1011.32,82.96,1.8728,173.88,0.1088,49.76
2018-03-20,28.67958333,2916.666667,24.50958333,1010.75,78.58333333,2.220416667,210.0833333,0.0,60.625
2018-03-21,28.48041667,2916.666667,24.21916667,1010.583333,78.08333333,2.326666667,221.8333333,0.049166667,28.25
2018-03-22,28.83625,3333.333333,24.62166667,1009.166667,78.45833333,3.12,243.7916667,0.05,46.29166667
2018-03-23,28.8625,3333.333333,24.8975,1008.875,79.5,2.921666667,236.5416667,0.052916667,36.375
2018-03-24,28.60875,3333.333333,24.66708333,1009.833333,79.625,2.297916667,178.0833333,0.0,57.83333333
2018-03-25,28.56041667,3333.333333,23.25625,1011.333333,73.66666667,1.81,216.4166667,0.009583333,77.25
2018-03-26,27.474,4000.0,24.318,1011.4,83.4,1.8196,126.6,0.5704,71.52
2018-03-27,27.6975,3333.333333,24.52416667,1011.041667,83.16666667,2.079166667,166.3333333,0.099583333,47.125
2018-03-28,28.2668,3600.0,24.288,1010.6,79.4,2.0476,186.84,0.0124,22.16
2018-03-29,28.875,3333.333333,24.66958333,1010.5,78.45833333,2.209166667,204.9583333,0.02875,29.20833333
2018-03-30,29.22708333,3333.333333,24.80833333,1010.041667,77.45833333,2.835833333,209.5416667,0.005416667,23.83333333
2018-03-31,28.77166667,3333.333333,25.48625,1009.541667,82.75,2.878333333,201.25,0.08375,48.29166667
2018-04-01,28.02958333,3333.333333,24.85333333,1009.333333,83.25,2.470416667,171.9583333,0.13125,44.95833333
2018-04-02,27.66916667,2500.0,24.62958333,1009.875,83.875,1.81125,183.8333333,0.05125,33.08333333
2018-04-03,28.09291667,3333.333333,24.32416667,1009.083333,80.5,1.658333333,213.0416667,0.0275,22.79166667
2018-04-04,28.69166667,3333.333333,24.37083333,1007.583333,78.04166667,1.680833333,188.0833333,0.01875,25.70833333
2018-04-05,28.49666667,3333.333333,24.60166667,1007.541667,79.875,2.00625,185.0833333,0.0375,32.16666667
2018-04-06,27.6275,3750.0,23.94291667,1008.625,81.04166667,2.067083333,157.0416667,0.10375,46.91666667
2018-04-07,26.63833333,3333.333333,23.85333333,1009.291667,85.20833333,1.536666667,152.6666667,0.055,67.45833333
2018-04-08,28.2064,4000.0,23.9376,1009.48,78.28,1.628,188.32,0.0568,61.92
2018-04-09,27.38769231,3846.153846,23.89307692,1009.423077,81.80769231,2.074615385,165.2692308,0.131538462,74.5
2018-04-10,27.8275,3333.333333,24.01375,1008.416667,80.45833333,1.643333333,164.25,0.403333333,49.20833333
2018-04-11,26.886,3600.0,24.0972,1008.52,85.2,2.158,188.44,0.2584,78.44
2018-04-12,27.09111111,4074.074074,24.36962963,1008.185185,85.55555556,1.837777778,149.3333333,0.35,85.81481481
2018-04-13,26.0528,3600.0,23.9804,1009.4,88.6,1.966,156.52,0.6992,88.28
2018-04-14,27.1056,3200.0,24.4928,1009.04,86.04,1.962,122.72,0.2324,82.24
2018-04-15,28.0168,3600.0,24.8776,1009.24,83.4,1.5616,140.2,0.1444,65.16
2018-04-16,28.1636,3600.0,24.842,1009.84,82.56,1.7016,158.56,0.0488,65.88
2018-04-17,28.1388,3600.0,24.8912,1010.28,83.08,1.2076,125.4,0.1084,43.64
2018-04-18,26.93192308,3846.153846,24.54884615,1010.538462,87.07692308,2.006153846,181.2307692,0.414230769,70.53846154
2018-04-19,28.29291667,3333.333333,24.78916667,1009.083333,81.83333333,1.918333333,181.0416667,0.070833333,58.41666667
2018-04-20,28.56666667,3333.333333,25.12333333,1009.041667,81.95833333,1.725416667,201.7916667,0.029583333,73.70833333
2018-04-21,28.73166667,3333.333333,25.13333333,1009.0,81.29166667,2.12375,174.1666667,0.037083333,54.95833333
2018-04-22,28.6512,3600.0,25.1512,1009.32,81.84,2.1056,184.04,0.1876,74.44
2018-04-23,28.9716,3600.0,25.0508,1009.16,79.84,2.1756,215.88,0.056,37.48
2018-04-24,28.72583333,3333.333333,24.68166667,1009.416667,79.20833333,2.42375,199.125,0.072916667,45.0
2018-04-25,27.84692308,3846.153846,24.81230769,1008.615385,84.03846154,2.600384615,165.3846154,0.261153846,52.61538462
2018-04-26,27.594,3600.0,24.56,1008.04,83.92,2.0916,157.28,0.1748,69.32
2018-04-27,28.0037037,4074.074074,24.93814815,1009.0,83.92592593,1.839259259,159.7407407,0.276666667,61.48148148
2018-04-28,27.48458333,3333.333333,24.72833333,1009.666667,85.33333333,2.302916667,148.1666667,0.23,77.29166667
2018-04-29,27.9425,3333.333333,24.74958333,1009.041667,83.16666667,2.440833333,181.125,0.215416667,73.66666667
2018-04-30,29.08375,3750.0,25.54208333,1008.583333,81.625,2.96375,195.1666667,0.087916667,58.58333333
2018-05-01,29.48583333,3333.333333,25.97041667,1009.125,81.79166667,3.005,222.5,0.122083333,58.54166667
2018-05-02,28.56692308,3846.153846,25.77192308,1009.153846,85.19230769,2.460769231,201.2692308,0.138076923,65.73076923
2018-05-03,27.80222222,4074.074074,25.12592593,1008.962963,85.77777778,2.209259259,169.1111111,0.084444444,74.07407407
2018-05-04,27.92041667,3333.333333,24.54166667,1009.291667,82.5,2.481666667,172.5833333,0.454583333,60.875
2018-05-05,27.7375,4285.714286,24.8025,1010.5,84.53571429,2.151428571,173.7142857,0.316428571,70.96428571
2018-05-06,28.62791667,3750.0,25.00208333,1010.625,81.375,3.11125,168.7083333,0.221666667,74.66666667
2018-05-07,27.62333333,3703.703704,24.99851852,1009.925926,85.88888889,2.863333333,190.5185185,0.547037037,68.18518519
2018-05-08,27.53037037,4074.074074,25.06111111,1009.148148,86.66666667,3.30037037,189.2222222,0.95037037,72.22222222
2018-05-09,27.628,3600.0,24.9104,1010.08,85.44,3.4896,188.2,0.4728,80.96
2018-05-10,27.58269231,3846.153846,24.81384615,1010.5,85.26923077,2.707692308,166.3461538,1.163461538,76.15384615
2018-05-11,28.12222222,4074.074074,25.12333333,1009.62963,84.18518519,2.508518519,192.4814815,0.543333333,54.33333333
2018-05-12,27.37851852,4074.074074,25.04,1009.37037,87.40740741,2.205555556,214.3333333,0.568148148,57.62962963
2018-05-13,27.50653846,3846.153846,24.93346154,1009.307692,86.11538462,2.366923077,190.2692308,0.279615385,86.07692308
2018-05-14,27.79115385,3846.153846,24.84884615,1009.0,84.38461538,2.075,207.5,0.475769231,75.11538462
2018-05-15,28.1956,3600.0,25.0032,1007.64,83.24,1.9144,171.72,0.2972,77.84
2018-05-16,27.39392857,4285.714286,24.62178571,1007.678571,85.35714286,2.691071429,187.6428571,0.845714286,74.42857143
2018-05-17,26.60166667,3333.333333,24.67416667,1008.333333,89.33333333,3.01125,172.0416667,0.82875,86.58333333
2018-05-18,26.33321429,4285.714286,24.38214286,1008.464286,89.10714286,2.078214286,200.8214286,0.534285714,86.32142857
2018-05-19,27.95,3750.0,24.81041667,1007.416667,83.625,2.987916667,208.7083333,0.337083333,80.33333333
2018-05-20,26.88821429,4285.714286,24.79142857,1007.928571,88.46428571,3.928214286,215.6428571,0.8625,82.75
2018-05-21,26.4704,3600.0,24.0936,1008.36,87.04,3.7524,220.32,0.7228,92.84
2018-05-22,27.62458333,3333.333333,25.28875,1007.666667,87.29166667,3.33625,216.5,0.253333333,82.79166667
2018-05-23,25.70555556,3703.703704,24.22666667,1007.259259,91.59259259,3.040740741,189.4814815,0.822222222,89.55555556
2018-05-24,26.1652,3600.0,24.388,1006.36,90.04,4.0484,215.04,1.4508,88.0
2018-05-25,26.42333333,3125.0,24.5725,1005.875,89.70833333,3.415833333,234.2916667,0.85125,91.70833333
2018-05-26,26.95416667,3333.333333,24.94791667,1006.0,88.95833333,4.302083333,203.125,0.787083333,81.66666667
2018-05-27,27.496,3600.0,25.1632,1006.92,87.28,5.4504,213.56,0.6788,67.84
2018-05-28,28.3492,3200.0,25.5964,1007.04,85.2,6.1104,236.08,0.3216,62.28
2018-05-29,29.2248,3200.0,25.0228,1007.0,78.36,5.712,254.04,0.0792,68.8
2018-05-30,29.2204,3600.0,25.2724,1006.96,79.52,5.9796,248.72,0.1372,52.28
2018-05-31,28.63083333,3333.333333,25.55166667,1007.833333,83.625,5.124166667,234.875,0.1775,67.54166667
2018-06-01,27.58625,3250.0,24.82333333,1008.333333,85.16666667,4.68375,226.0833333,0.447916667,83.08333333
2018-06-02,27.56,3200.0,25.178,1008.4,86.96,4.7472,236.48,1.1828,76.24
2018-06-03,27.94541667,3333.333333,25.09791667,1007.666667,84.66666667,5.0725,247.9583333,0.71625,72.20833333
2018-06-04,27.89833333,3750.0,25.05416667,1006.833333,84.70833333,4.40875,234.2916667,0.729583333,74.66666667
2018-06-05,28.47458333,3333.333333,25.28541667,1007.791667,83.04166667,4.72125,236.3333333,0.437083333,71.66666667
2018-06-06,27.88115385,3846.153846,25.06,1009.884615,84.92307692,5.014230769,228.9615385,0.863076923,71.73076923
2018-06-07,27.24833333,3333.333333,24.85,1009.666667,86.83333333,5.767916667,231.2916667,1.33375,89.625
2018-06-08,28.46625,3333.333333,25.33083333,1009.041667,83.33333333,6.399583333,238.2916667,0.704166667,60.16666667
2018-06-09,28.3944,3600.0,25.3288,1008.88,83.68,6.0416,234.52,0.7204,72.12
2018-06-10,28.395,3333.333333,25.36416667,1009.583333,83.91666667,5.592083333,236.375,0.21375,67.33333333
2018-06-11,28.3675,3333.333333,25.33875,1010.0,83.875,5.11625,232.375,0.091666667,42.95833333
2018-06-12,28.55375,3333.333333,25.16375,1009.583333,82.08333333,5.31,224.625,0.054583333,67.41666667
2018-06-13,27.66375,2916.666667,24.79708333,1010.0,84.625,4.848333333,227.5833333,0.487916667,82.75
2018-06-14,27.7292,3600.0,24.9612,1010.08,85.04,4.5344,240.2,0.2756,73.2
2018-06-15,27.8376,4000.0,24.9196,1010.2,84.36,4.7504,233.32,0.5004,71.68
2018-06-16,26.5376,2400.0,24.508,1011.36,88.68,4.6072,234.24,0.308,90.56
2018-06-17,28.07791667,2916.666667,24.90291667,1010.666667,83.04166667,5.046666667,239.9166667,0.357083333,74.45833333
2018-06-18,27.4048,3600.0,25.0312,1010.52,87.08,4.0408,228.04,0.4376,70.2
2018-06-19,27.73583333,3333.333333,24.81708333,1009.916667,84.41666667,4.672916667,222.2916667,0.07625,53.58333333
2018-06-20,27.725,3846.153846,24.47653846,1009.884615,82.76923077,4.616153846,229.6153846,0.155384615,64.38461538
2018-06-21,27.13958333,2500.0,24.71208333,1009.708333,86.75,4.8675,222.5,0.515416667,74.75
2018-06-22,27.5444,3200.0,24.914,1009.28,85.72,4.9028,232.4,0.2528,74.6
2018-06-23,27.305,3846.153846,24.85,1009.307692,86.69230769,4.229230769,236.3076923,0.684615385,70.07692308
2018-06-24,27.61708333,3333.333333,24.97458333,1009.708333,85.66666667,4.208333333,239.4583333,0.178333333,74.375
2018-06-25,27.69166667,3333.333333,24.61208333,1009.083333,83.54166667,4.32875,250.9166667,0.203333333,75.16666667
2018-06-26,27.65166667,2916.666667,24.91,1008.291667,85.125,5.092916667,249.375,0.269166667,80.33333333
2018-06-27,27.59583333,3333.333333,24.32041667,1008.083333,82.58333333,4.67375,250.2083333,0.336666667,74.875
2018-06-28,27.66833333,3083.333333,24.8875,1008.25,85.0,3.831666667,245.2083333,0.166666667,68.33333333
2018-06-29,27.40916667,3333.333333,24.37958333,1007.791667,83.83333333,3.35375,237.4166667,0.290416667,57.70833333
2018-06-30,27.54458333,3333.333333,24.63416667,1008.125,84.41666667,3.71,238.7083333,0.490416667,72.5
2018-07-01,27.81833333,3333.333333,24.41,1008.583333,81.95833333,3.705416667,247.2916667,0.165416667,75.16666667
2018-07-02,27.4448,3600.0,24.6152,1008.92,84.72,3.3208,234.52,0.1672,75.64
2018-07-03,28.09375,3333.333333,24.92625,1009.375,83.16666667,3.527916667,235.5,0.026666667,67.0
2018-07-04,28.3325,3333.333333,25.08333333,1009.875,82.79166667,4.265,236.2083333,0.104583333,64.45833333
2018-07-05,28.16791667,3333.333333,24.89041667,1009.583333,82.66666667,4.345416667,237.2083333,0.080416667,49.16666667
2018-07-06,28.33291667,4166.666667,24.56916667,1009.0,80.375,5.105416667,241.625,0.167083333,67.875
2018-07-07,28.19083333,3333.333333,24.57333333,1008.5,81.0,5.584583333,255.3333333,0.080833333,78.45833333
2018-07-08,27.76,2500.0,24.78041667,1008.375,84.04166667,4.99125,253.375,0.305416667,89.5
2018-07-09,27.11458333,3333.333333,24.35833333,1009.458333,85.125,5.332916667,238.7083333,0.418333333,82.33333333
2018-07-10,26.80625,3750.0,23.83875,1010.458333,83.95833333,5.112916667,242.0,0.462083333,76.95833333
2018-07-11,26.2792,3600.0,23.6592,1010.32,85.68,4.184,235.16,0.8316,80.64
2018-07-12,27.31583333,3333.333333,24.57625,1009.291667,85.16666667,4.27625,228.2083333,0.225416667,71.91666667
2018-07-13,27.65,3333.333333,24.82166667,1009.0,84.75,4.84,245.625,0.150833333,75.875
2018-07-14,27.62708333,2916.666667,24.65791667,1008.166667,84.04166667,5.21125,246.75,0.1875,86.79166667
2018-07-15,26.79666667,3333.333333,24.28375,1008.291667,86.29166667,4.403333333,255.7916667,0.265833333,83.20833333
2018-07-16,26.61125,3333.333333,23.79125,1008.875,84.70833333,4.66875,264.0,0.27375,82.29166667
2018-07-17,27.24875,2916.666667,24.19041667,1008.916667,83.70833333,4.292083333,264.0416667,0.060416667,71.83333333
2018-07-18,27.30791667,3333.333333,24.32958333,1008.916667,84.04166667,4.400416667,262.5833333,0.0,55.79166667
2018-07-19,27.24833333,3333.333333,24.58875,1009.75,85.58333333,4.240833333,245.7916667,0.02375,78.54166667
2018-07-20,27.46625,3333.333333,24.30083333,1009.958333,83.08333333,3.526666667,244.1666667,0.004166667,76.16666667
2018-07-21,27.59125,3333.333333,24.43625,1010.375,83.125,4.447916667,244.4583333,0.024166667,67.75
2018-07-22,27.49791667,3333.333333,24.65125,1009.291667,84.66666667,5.005416667,255.125,0.0,30.58333333
2018-07-23,27.54333333,2500.0,24.52791667,1008.75,83.83333333,5.135833333,266.5416667,0.005,43.25
2018-07-24,27.34625,3333.333333,24.55041667,1009.916667,84.91666667,5.30125,268.25,0.0,47.33333333
2018-07-25,27.14708333,3333.333333,24.675,1009.916667,86.54166667,5.0525,258.375,0.013333333,56.16666667
2018-07-26,27.22083333,3333.333333,24.54458333,1010.041667,85.45833333,4.999583333,265.5416667,0.0,47.04166667
2018-07-27,27.20916667,3333.333333,24.41125,1010.125,84.875,4.36625,248.2083333,0.0,82.70833333
2018-07-28,27.18958333,2916.666667,24.35166667,1009.583333,84.66666667,4.506666667,247.5416667,0.02375,85.04166667
2018-07-29,27.35375,2916.666667,24.44958333,1009.25,84.375,4.445,238.25,0.084166667,76.375
2018-07-30,27.00708333,2500.0,24.525,1009.708333,86.45833333,4.666666667,231.6666667,0.345,81.5
2018-07-31,26.84875,2500.0,24.37958333,1010.625,86.58333333,4.647083333,231.8333333,0.299583333,81.41666667
2018-08-01,26.9164,3200.0,24.67,1010.88,87.72,3.6936,225.44,0.168,77.88
2018-08-02,27.30208333,3333.333333,24.8275,1011.416667,86.58333333,3.910833333,214.3333333,0.224166667,63.5
